"Register"                                      ,"注册"
"Management"                                    ,"管理"
"Login name"                                    ,"登录名"
"login_name"                                    ,"登录名"
"Login"                                         ,"登录"
"Logout"                                        ,"登出"
"Profile"                                       ,"用户信息"
"Email"                                         ,"邮箱"
"email"                                         ,"邮箱"
"Phone"                                         ,"手机号"
"phone"                                         ,"手机号"
"group"                                         ,"组"
"user"                                          ,"用户"
"Password"                                      ,"密码"
"Password confirm"                              ,"密码确认"
"Password confirm not match"                    ,"密码确认不匹配"
"Password confirm matched"                      ,"密码确认匹配"
"Nickname"                                      ,"呢称"
"nickname"                                      ,"呢称"
"Login name exists "                            ,"登录名已存在"
"Haven't got an account? click here to register","没有帐号？点此注册"
"Already have an account, click here to login"  ,"已有帐号？点此登录"
"Login name / Email / Phone"                    ,"登录名 / 邮箱 / 手机号"
"Invalid login, login name or password wrong!"  ,"登录失败，用户名或密码错误！"
"Dashboard"                                     ,"管理面板"
"description"                                   ,"描述"
"role"                                          ,"角色"